,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Tibetan_Gangcha:QH1,0.03187,-0.397072,0.005657,-0.034238,0.005539,0.004183,0.009165,0.001385,0.008181,0.003098,-0.077135,-0.008992,0.009217,-0.00289,-0.007057,0.006099,0.00678,-0.00152,-0.004902,0.004502,0.003993,0.030419,0.003574,0.003615,0.034967
Tibetan_Gangcha:QH10,0.025041,-0.394025,0.016216,-0.037791,0.000923,0.000558,0.00564,0.019153,-0.002863,0.012939,-0.075348,-0.004346,0.009366,-0.000688,-0.006243,-0.011005,-0.007953,-0.003927,-0.000377,0.002751,-0.003119,0.012984,-0.004314,0.003856,0.025387
Tibetan_Gangcha:QH11,0.023903,-0.411289,0.010559,-0.041667,0.017542,-0.001394,0.004935,0.003461,0.003886,0.008018,-0.08428,-0.006894,0.005649,-0.003716,-0.006515,0.000265,-0.00691,-0.001647,-0.007919,-0.002376,0.003494,0.012365,0.004807,0.001084,0.024309
Tibetan_Gangcha:QH12,0.026179,-0.417383,0.023004,-0.03553,0.012002,0.008646,0.00987,0.006,-0.000409,0.011481,-0.076972,-0.003597,0.006838,-0.003028,-0.00095,0.001193,0.003129,0.002407,-0.010182,0.015132,-0.004742,0.019166,0.001972,0.003133,0.022513
Tibetan_Gangcha:QH14,0.029594,-0.403165,0.016593,-0.043605,0.012925,-0.007809,0.013161,0.009461,0,0.007836,-0.070477,-0.005995,0.004757,0.004679,-0.005972,-0.000928,0.002868,0.001774,-0.010684,0.004877,-0.004492,0.013849,-0.001972,-0.000723,0.022872
Tibetan_Gangcha:QH15,0.026179,-0.407227,0.011691,-0.040698,0.012925,0.007809,0.00752,0.002077,0.002045,0.007107,-0.074536,-0.01094,0.004757,-0.002477,-0.008686,-0.005834,-0.002086,-0.004814,-0.007793,0.002501,-0.001123,0.024112,0.003574,-0.003012,0.024429
Tibetan_Gangcha:QH16,0.027318,-0.39301,0.006411,-0.034238,0.008001,0.007809,0.00376,0.001385,0.001432,0.015308,-0.077784,-0.001349,0.003568,0.001376,-0.004479,0.003182,-0.000391,-0.007601,-0.003142,0.01113,-0.003993,0.019166,-0.000739,0.005061,0.030776
Tibetan_Gangcha:QH17,0.027318,-0.398088,0.013953,-0.039083,0.003385,-0.003626,0.012691,0.006692,0.006136,0.007654,-0.082818,-0.008692,0.00996,-0.002064,-0.007329,-0.004375,0.007953,-0.002027,0.000754,0.003502,-0.004991,0.012613,0.010106,0.007712,0.025866
Tibetan_Gangcha:QH18,0.03187,-0.389963,0.014708,-0.038114,0.003693,-0.002231,0.014806,0.004384,-0.002454,0.010934,-0.066417,-0.011989,0.011893,-0.000138,-0.006107,-0.007292,-0.005476,-0.00152,-0.00729,0.007754,0.003119,0.01558,0.004067,0.004458,0.032572
Tibetan_Gangcha:QH19,0.030732,-0.408243,0.010936,-0.042313,0.012002,0.005299,0.017626,0.009461,-0.006136,0.005649,-0.077946,-0.014537,0.005054,0.005092,-0.002036,-0.012861,-0.005607,-0.005954,-0.011061,0.003627,-0.004866,0.018795,0.000246,-0.006868,0.030297
Tibetan_Gangcha:QH2,0.027318,-0.390979,0.02225,-0.035853,-0.007694,-0.005299,0.004465,0.005769,-0.003068,0.001093,-0.06252,-0.008692,0.007433,0.003578,0.00095,-0.002387,-0.004042,-0.00228,-0.014204,0.001751,-0.000624,0.016569,0.00419,-0.000602,0.034129
Tibetan_Gangcha:QH20,0.026179,-0.409258,0.009428,-0.042959,0.00954,-0.001394,0.014571,0.000692,-0.003272,0.011299,-0.086391,-0.01094,0.010406,0.001789,-0.003257,0.001591,0.002608,-0.006968,-0.009176,0.003377,-0.004991,0.020897,0.000616,-0.008555,0.022752
Tibetan_Gangcha:QH3,0.027318,-0.395041,0.018856,-0.031977,0.003385,-0.006693,0.012456,0.006,0.001841,0.010934,-0.070801,-0.008393,0.010109,-0.009358,-0.008143,-0.012463,-0.002608,0.004561,-0.001131,0.003126,-0.006738,0.012613,0.003451,0.010965,0.02383
