,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
VK2020_Scotland_Orkney_VA,0.1282408,0.1354038,0.0632307,0.0503342,0.0383148,0.0180817,0.0032902,0.0054615,0.006306,0.000911,-0.005873,0.0072185,-0.0135033,-0.0139685,0.0262165,-0.000199,-0.015081,0.002217,0.0028073,0.0044398,0.006135,0.0030088,-0.0038412,0.0156247,0.0032132
VK2020_SWE_Gotland_VA,0.1291892,0.1293349,0.0760976,0.0683684,0.0429457,0.02595,0.0082141,0.0101918,0.0022596,-0.0149563,-0.0042028,-0.004314,0.0061871,0.0124516,0.0032281,0.0025729,-0.0029337,-0.001282,0.0027026,0.0047374,-0.0008229,0.0003239,0.0054933,0.0018907,-0.0004078
VK2020_SWE_Gotland_VA_o,0.120652,0.062963,0.090509,0.084303,0.027082,0.02259,0.009165,0.010384,0.001023,-0.023691,0.002273,-0.01094,0.021556,0.005643,-0.009093,0,-0.007171,0.003421,-0.002137,0.008504,0.011105,-0.001237,0.002218,-0.003856,0
VK2020_SWE_Karda_VA,0.123308,0.1350653,0.0514143,0.0346687,0.0324163,0.012364,-0.0045433,0.0058457,0.0049087,0.006925,-0.009689,0.0043463,-0.0122893,-0.0097253,0.0152007,0.0053037,-0.0039983,-0.001098,-0.0006287,0.0052523,0.0059477,-0.0002473,-0.00152,0.005784,-0.0015963
VK2020_SWE_Malmo_VA,0.1269125,0.1289725,0.064676,0.0621775,0.0361605,0.0211955,0.007638,-0.0001155,0.00859,-0.0135765,0.001786,0.001199,-0.0046085,-0.014588,0.017644,0.001525,-0.00678,0.002534,0.0050905,0.001563,0.0079855,0.0048225,-0.003759,0.00735,0.000599
VK2020_SWE_Oland_EVA,0.12862,0.121864,0.064488,0.051357,0.040315,0.027331,-0.00611,-0.003692,-0.010226,-0.021139,0.020948,0.014987,-0.005946,-0.008395,0.015744,0.031159,-0.007432,0.002534,0.023254,-0.02001,0.018093,-0.004204,0.001356,0.025546,0.007185
VK2020_SWE_Oland_IA,0.129758,0.131003,0.075424,0.06783,0.053856,0.023706,-0.00047,0.009923,0.011658,-0.005649,-0.001786,0.002847,-0.004757,-0.005643,0.022122,0.004773,-0.005867,0.000633,0.004022,0.008754,0.007237,0.005564,-0.005423,0.025064,0.001916
VK2020_SWE_Oland_VA,0.1228747,0.1295525,0.0649904,0.0506495,0.0413264,0.0181146,0.0026857,0.007626,0.0051716,-0.0023082,-0.005034,0.0031758,-0.004297,-0.0055245,0.0117624,0.0071536,-0.0011176,0.0010074,0.0032203,0.0026501,0.0055794,0.0037271,0.0010623,0.0089627,-0.0008951
VK2020_SWE_Skara_VA,0.1269324,0.1322989,0.0678687,0.0535623,0.0409943,0.0182433,0.0035737,0.0081959,0.0059807,-0.004336,-0.0039757,0.0022015,-0.0067153,-0.0054337,0.0159027,0.0066158,-0.0055885,0.0022323,0.0019808,0.0034413,0.0064584,0.0028994,-0.0014279,0.0108322,0.0019325
VK2020_SWE_Uppsala_VA,0.132604,0.122879,0.0784415,0.0699295,0.0437005,0.0230085,0.00423,0.0131535,0.0111465,-0.0127565,-0.002436,-0.0045705,0.0046825,-0.001376,0.011265,0.01538,0.001108,0.0069045,-0.000377,0.004002,0.0093585,0.0016075,0.001849,0.010724,-0.0032335
VK2020_UKR_Lutsk_MA,0.122929,0.125926,0.059585,0.055879,0.033852,0.021753,0.005405,0.011307,-0.003068,-0.015672,0.00065,-0.007493,0.016204,0.024222,-0.017779,0.001326,0.008736,-0.004561,0.001383,0.004252,-0.007736,-0.012118,0.012078,-0.004097,0
VK2020_UKR_Shestovitsa_VA,0.1269125,0.1172935,0.0812695,0.0654075,0.0438545,0.021196,0.0059925,0.009115,0.001738,-0.0157635,0.003573,0.0017985,0,-0.0012385,0.0119435,-0.00716,-0.022752,0.0067145,0,0.0032515,0.005116,-6.15e-05,0.0007395,0.0095195,0.001916
VK2020_Wales_Anglesey_VA,0.125205,0.125926,0.056945,0.046835,0.042162,0.024542,0.00329,0.001846,0.001227,-0.005103,-0.003573,0.020981,-0.02215,-0.027112,0.016694,0.018695,0.012517,-0.002407,0.008547,0.012756,-0.00836,-0.001607,0.000493,0.016629,0.000718
VNM_BA,0.009106,-0.421445,-0.037712,-0.046189,0.122792,0.061914,-0.011516,-0.013615,-0.024543,-0.01221,0.017213,-0.003147,-0.003122,-0.004542,-0.001357,-0.001724,-0.001434,-0.003547,0.005782,-0.005503,0.008984,0.00371,0.020829,0.004579,0.006466
VNM_BA_Dong_Son_Culture,0.0387,-0.381331,-0.0405405,-0.0573325,0.132948,0.0556385,-0.0003525,-0.012692,-0.0235205,-0.0039185,0.026388,-0.0028475,0.007284,-0.0121795,-0.000611,0.0102095,-0.0089965,0.009185,0.0011315,-0.0125685,0.008173,0.009892,0.0059155,0.004519,0.0021555
VNM_LN,0.0163143,-0.3875937,-0.0568197,-0.0402673,0.1348967,0.0703733,-0.0036033,-0.0036923,-0.0100217,-0.0145787,0.0582973,0.002947,-0.006442,-0.012386,0.0081887,-0.0002653,0.0080403,-0.0089527,0.000838,0.004419,-0.0024957,0.007337,-0.0058747,-0.0076713,0.028181
VNM_N,0,-0.386917,-0.064865,-0.031008,0.134333,0.06038,0.0036425,-0.010961,-0.0138055,-0.014579,0.0695835,-0.001499,-0.002007,0.001376,0.0169655,-0.0031155,-0.0011085,0.00076,-0.0020115,0.01532,-0.0034935,0.0084085,0.0030195,-0.0063865,0.034009
VUT_1100BP,-0.03225,-0.2623453,-0.2033937,0.2068287,0.1696723,-0.3298347,-0.0001567,0.002923,-0.022975,-0.0130603,-0.0009743,0.001099,0.000743,0.0001833,0.0004977,-0.0005743,-0.005824,0.002027,0.0010893,-0.0078787,-0.002537,-0.0079963,-0.004519,-0.001727,-0.00946
VUT_1200BP,-0.039838,-0.262007,-0.203268,0.208659,0.168339,-0.338294,-0.00376,0.005077,-0.01943,-0.006743,0.000974,0.005245,0.008176,-0.001514,-0.002579,0.001856,-0.000391,-0.004181,0.000628,-0.008504,-0.004866,-0.004946,-0.007518,-0.004579,-0.018082
VUT_1300BP_all,-0.04496,-0.2401725,-0.2213695,0.2398285,0.170801,-0.377339,0.0029375,0.0065765,-0.0224975,-0.0079275,-0.004141,0.001199,0.001784,-0.003647,-0.0059715,-0.0025855,0.005672,-0.0003165,-0.0002515,-0.0016885,0.003868,0.001731,-0.004375,-0.005181,-0.002275
VUT_150BP,-0.0375615,-0.2584525,-0.1998742,0.212212,0.162261,-0.3292305,-0.0014688,0.0040385,-0.026895,-0.0092485,0.0038565,-0.0048332,0.0029733,-0.0008257,0.0002375,0.0017568,-0.0003912,0.000665,0.0047765,0.0022825,-0.0024017,-0.0060898,-0.0036048,-0.0056632,-0.0144298
VUT_150BP_all,-0.044391,-0.242373,-0.222501,0.241282,0.166698,-0.375108,-0.00188,0.0023077,-0.024202,-0.0064997,-0.0052503,0.001349,0.0024283,-0.001055,-0.0015837,-0.0028283,-0.0026077,-0.0027023,0.0006283,0.000125,-0.000208,-0.004369,0.000575,-0.002249,-0.0046303
VUT_2000BP,-0.022765,-0.304659,-0.174984,0.148258,0.163723,-0.248213,0.00376,-0.004615,-0.025565,-0.000547,0.015102,-0.004196,0.003865,0.001239,0.002172,-0.001326,0.002999,0.000507,0.008673,-0.006878,-0.002496,-0.005688,-0.002342,0.001687,-0.01904
VUT_2300BP_all,-0.039838,-0.227479,-0.231552,0.254202,0.176648,-0.406901,0.00188,0.003,-0.025975,-0.010752,-0.00065,0.004646,0.000297,-0.001651,-0.001493,-0.002519,-0.005867,-0.007981,-0.002011,0.003877,0.008235,-0.004946,-0.003081,-0.001084,-0.010897
VUT_2350BP,-0.025041,-0.308721,-0.164802,0.148258,0.158491,-0.256579,-0.0094,-0.017999,-0.030474,-0.015672,0.021273,0.005995,0.004608,0.000963,0.008279,-0.004243,-0.007953,-0.005321,0.005782,-0.004252,-0.003119,-0.008161,-0.010846,-0.002289,-0.02862
VUT_2500BP,-0.034716,-0.2620065,-0.19912,0.2094665,0.1641845,-0.340247,-0.0019975,0.0077305,-0.0197365,-0.0119365,0.002192,0.0048705,0.0038655,-0.00695,-0.0054285,0.000265,0.0015645,0.0015205,0.000503,0.0010005,-0.0026205,-0.005317,-0.002403,-0.011387,-0.0154475
VUT_2900BP_all,0.0087267,-0.4211063,-0.0467627,-0.0628773,0.145668,0.0595897,-0.0067367,-0.017307,-0.0191573,-0.0241163,0.0579187,0.0049457,-0.007532,0.006514,0.0184127,0.0109607,-0.00565,0.0032517,0.010601,-0.0117553,0.0045337,-0.0247717,-0.0013967,-0.0151023,-0.062629
